lambda (mm), material, size index, min size (mm), max size (mm), porosity, ice fraction, opacity
0.45, Astro. silicates, -4.0, 1e-4, 100, .5, .22, 
0.45, Astro. silicates, -4.0, 1e-4, 100, .8, .22, 
0.45, Astro. silicates, -4.0, 1e-4, 100, 0, .48, 
0.45, Astro. silicates, -4.0, 1e-4, 100, .5, .48, 
0.45, Astro. silicates, -4.0, 1e-4, 100, .8, .48, 

0.45, Silicate mixt., -3.0, 1e-4, 1, 0, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 1, .5, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 1, .8, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 1, 0, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 1, .5, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 1, .8, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 1, 0, .48, 
0.45, Silicate mixt., -3.0, 1e-4, 1, .5, .48, 
0.45, Silicate mixt., -3.0, 1e-4, 1, .8, .48, 

0.45, Silicate mixt., -3.0, 1e-4, 10, 0, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 10, .5, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 10, .8, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 10, 0, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 10, .5, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 10, .8, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 10, 0, .48, 
0.45, Silicate mixt., -3.0, 1e-4, 10, .5, .48, 
0.45, Silicate mixt., -3.0, 1e-4, 10, .8, .48, 

0.45, Silicate mixt., -3.0, 1e-4, 100, 0, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 100, .5, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 100, .8, 0, 
0.45, Silicate mixt., -3.0, 1e-4, 100, 0, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 100, .5, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 100, .8, .22, 
0.45, Silicate mixt., -3.0, 1e-4, 100, 0, .48, 
0.45, Silicate mixt., -3.0, 1e-4, 100, .5, .48, 
0.45, Silicate mixt., -3.0, 1e-4, 100, .8, .48, 

0.45, Silicate mixt., -3.5, 1e-4, 1, 0, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 1, .5, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 1, .8, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 1, 0, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 1, .5, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 1, .8, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 1, 0, .48, 
0.45, Silicate mixt., -3.5, 1e-4, 1, .5, .48, 
0.45, Silicate mixt., -3.5, 1e-4, 1, .8, .48, 

0.45, Silicate mixt., -3.5, 1e-4, 10, 0, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 10, .5, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 10, .8, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 10, 0, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 10, .5, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 10, .8, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 10, 0, .48, 
0.45, Silicate mixt., -3.5, 1e-4, 10, .5, .48, 
0.45, Silicate mixt., -3.5, 1e-4, 10, .8, .48, 

0.45, Silicate mixt., -3.5, 1e-4, 100, 0, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 100, .5, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 100, .8, 0, 
0.45, Silicate mixt., -3.5, 1e-4, 100, 0, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 100, .5, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 100, .8, .22, 
0.45, Silicate mixt., -3.5, 1e-4, 100, 0, .48, 
0.45, Silicate mixt., -3.5, 1e-4, 100, .5, .48, 
0.45, Silicate mixt., -3.5, 1e-4, 100, .8, .48, 

0.45, Silicate mixt., -4.0, 1e-4, 1, 0, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 1, .5, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 1, .8, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 1, 0, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 1, .5, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 1, .8, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 1, 0, .48, 
0.45, Silicate mixt., -4.0, 1e-4, 1, .5, .48, 
0.45, Silicate mixt., -4.0, 1e-4, 1, .8, .48, 

0.45, Silicate mixt., -4.0, 1e-4, 10, 0, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 10, .5, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 10, .8, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 10, 0, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 10, .5, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 10, .8, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 10, 0, .48, 
0.45, Silicate mixt., -4.0, 1e-4, 10, .5, .48, 
0.45, Silicate mixt., -4.0, 1e-4, 10, .8, .48, 

0.45, Silicate mixt., -4.0, 1e-4, 100, 0, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 100, .5, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 100, .8, 0, 
0.45, Silicate mixt., -4.0, 1e-4, 100, 0, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 100, .5, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 100, .8, .22, 
0.45, Silicate mixt., -4.0, 1e-4, 100, 0, .48, 
0.45, Silicate mixt., -4.0, 1e-4, 100, .5, .48, 
0.45, Silicate mixt., -4.0, 1e-4, 100, .8, .48, 
